movie_id,title,imdb_id
862,Toy Story,tt0114709
8844,Jumanji,tt0113497
15602,Grumpier Old Men,tt0113228
31357,Waiting to Exhale,tt0114885
11862,Father of the Bride Part II,tt0113041
949,Heat,tt0113277
11860,Sabrina,tt0114319
45325,Tom and Huck,tt0112302
9091,Sudden Death,tt0114576
710,GoldenEye,tt0113189
9087,The American President,tt0112346
12110,Dracula: Dead and Loving It,tt0112896
21032,Balto,tt0112453
10858,Nixon,tt0113987
1408,Cutthroat Island,tt0112760
524,Casino,tt0112641
4584,Sense and Sensibility,tt0114388
5,Four Rooms,tt0113101
9273,Ace Ventura: When Nature Calls,tt0112281
11517,Money Train,tt0113845
8012,Get Shorty,tt0113161
1710,Copycat,tt0112722
9691,Assassins,tt0112401
12665,Powder,tt0114168
451,Leaving Las Vegas,tt0113627
16420,Othello,tt0114057
9263,Now and Then,tt0114011
17015,Persuasion,tt0114117
902,The City of Lost Children,tt0112682
37557,Shanghai Triad,tt0115012
9909,Dangerous Minds,tt0112792
63,Twelve Monkeys,tt0114746
78802,Wings of Courage,tt0114952
9598,Babe,tt0112431
47018,Carrington,tt0112637
687,Dead Man Walking,tt0112818
139405,Across the Sea of Time,tt0112286
33689,It Takes Two,tt0113442
9603,Clueless,tt0112697
34615,"Cry, the Beloved Country",tt0112749
31174,Richard III,tt0114279
11443,Dead Presidents,tt0112819
35196,Restoration,tt0114272
9312,Mortal Kombat,tt0113855
577,To Die For,tt0114681
11861,How To Make An American Quilt,tt0113347
807,Se7en,tt0114369
10530,Pocahontas,tt0114148
8391,When Night Is Falling,tt0114916
629,The Usual Suspects,tt0114814
117164,Guardian Angel,tt0109950
11448,Mighty Aphrodite,tt0113819
49133,Lamerica,tt0110299
26441,The Big Green,tt0112499
97406,Georgia,tt0113158
124057,Kids of the Round Table,tt0113541
9089,Home for the Holidays,tt0113321
11010,The Postman,tt0110877
99040,The Confessional,tt0112714
11359,The Indian in the Cupboard,tt0113419
17182,Eye for an Eye,tt0116260
2054,Mr. Holland's Opus,tt0113862
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,tt0116126
19760,Two If by Sea,tt0118002
9536,Bio-Dome,tt0115683
11525,Lawnmower Man 2: Beyond Cyberspace,tt0116839
40628,Two Bits,tt0114753
4482,French Twist,tt0113149
10634,Friday,tt0113118
755,From Dusk Till Dawn,tt0116367
11859,Fair Game,tt0113010
28387,Kicking and Screaming,tt0113537
48750,Les Miserables,tt0113828
20927,Bed of Roses,tt0115644
36929,Big Bully,tt0115676
9102,Screamers,tt0114367
124626,Nico Icon,tt0113973
27526,The Crossing Guard,tt0112744
9623,The Juror,tt0116731
46785,The White Balloon,tt0112445
400,Things to Do in Denver When You're Dead,tt0114660
880,Antonia's Line,tt0112379
146599,Once Upon a Time... When We Were Colored,tt0114039
188588,Last Summer in the Hamptons,tt0113612
8447,Angels and Insects,tt0112365
10534,White Squall,tt0118158
17414,Dunston Checks In,tt0116151
13997,Black Sheep,tt0115697
2086,Nick of Time,tt0113972
61548,The Journey of August King,tt0113490
9095,Mary Reilly,tt0117002
12158,Vampire in Brooklyn,tt0114825
9283,Beautiful Girls,tt0115639
9208,Broken Arrow,tt0115759
40154,A Midwinter's Tale,tt0113403
406,La Haine,tt0113247
45549,Shopping,tt0111173
63076,Heidi Fleiss: Hollywood Madam,tt0113283
11062,City Hall,tt0115907
13685,Bottle Rocket,tt0115734
47475,Mr. Wrong,tt0117102
2045,Unforgettable,tt0118040
9614,Happy Gilmore,tt0116483
688,The Bridges of Madison County,tt0112579
11907,Nobody Loves Me,tt0110251
10874,Muppet Treasure Island,tt0117110
89333,Catwalk,tt0112646
96357,Headless Body in Topless Bar,tt0113276
197,Braveheart,tt0112573
103,Taxi Driver,tt0075314
33542,Rumble in the Bronx,tt0113326
43566,Before and After,tt0115645
71754,Margaret's Museum,tt0113774
43612,Happiness Is in the Field,tt0112556
51352,Anne Frank Remembered,tt0112373
16934,The Young Poisoner's Handbook,tt0115033
10324,If Lucy Fell,tt0116606
78406,Steal Big Steal Little,tt0114536
55731,Race the Sun,tt0117427
32119,The Boys of St. Vincent,tt0106473
11066,Boomerang,tt0103859
11104,Chungking Express,tt0109424
37975,The Star Maker,tt0114808
2074,Flirting with Disaster,tt0116324
27793,The Neverending Story III: Escape from Fantasia,tt0110647
44284,The Silences of the Palace,tt0111055
290157,Jupiter's Wife,tt0110217
110972,Pie in the Sky,tt0114131
32622,Angela,tt0112364
73067,Frankie Starlight,tt0113107
11863,Jade,tt0113451
55475,Nueba Yol,tt0114015
124636,Sonic Outlaws,tt0114500
9101,Down Periscope,tt0116130
123360,From the Journals of Jean Seberg,tt0113125
5757,Man of the Year,tt0113756
39428,The Neon Bible,tt0113952
124639,Target,tt0114618
9302,Up Close & Personal,tt0118055
11000,The Birdcage,tt0115685
249882,Virgin Mary,tt0113200
16388,The Brothers McMullen,tt0112585
9737,Bad Boys,tt0112442
30765,The Amazing Panda Adventure,tt0112342
10474,The Basketball Diaries,tt0112461
22279,An Awfully Big Adventure,tt0112427
30157,Amateur,tt0109093
568,Apollo 13,tt0112384
11780,Rob Roy,tt0114287
34996,The Addiction,tt0112288
414,Batman Forever,tt0112462
649,Belle de Jour,tt0061395
1873,Beyond Rangoon,tt0112495
5894,Blue in the Face,tt0112541
1775,Canadian Bacon,tt0109370
8839,Casper,tt0112642
20649,Clockers,tt0112688
10329,Congo,tt0112715
8963,Crimson Tide,tt0112740
26564,Crumb,tt0109508
8068,Desperado,tt0112851
8512,Devil in a Blue Dress,tt0112857
1572,Die Hard: With a Vengeance,tt0112864
13552,The Doom Generation,tt0112887
259209,Feast of July,tt0113044
6520,First Knight,tt0113071
9073,Free Willy 2 - The Adventure Home,tt0113114
10428,Hackers,tt0113243
17447,Jeffrey,tt0113464
9886,Johnny Mnemonic,tt0113481
9482,Judge Dredd,tt0113492
19326,Jury Duty,tt0113500
9344,Kids,tt0113540
9071,Living in Oblivion,tt0113677
8973,Lord of Illusions,tt0113690
15730,Love & Human Remains,tt0107447
47608,Mad Love,tt0113729
2293,Mallrats,tt0113749
9070,Mighty Morphin Power Rangers: The Movie,tt0113820
68274,Moonlight and Valentino,tt0113851
48787,Mute Witness,tt0110604
34574,Nadja,tt0110620
1642,The Net,tt0113957
11472,Nine Months,tt0113986
36196,Party Girl,tt0114095
11980,The Prophecy,tt0114194
58372,Reckless,tt0114241
32646,Safe,tt0114323
10533,The Scarlet Letter,tt0114345
56088,The Show,tt0114435
10802,Showgirls,tt0114436
10149,Smoke,tt0114478
18402,Something to Talk About,tt0114496
9348,Species,tt0114508
139408,The Stars Fell on Henrietta,tt0114534
281,Strange Days,tt0114558
5967,The Umbrellas of Cherbourg,tt0058450
79593,The Tie That Binds,tt0114666
47939,Three Wishes,tt0114663
36834,Total Eclipse,tt0114702
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",tt0114682
3512,Under Siege 2: Dark Territory,tt0114781
52856,Unstrung Heroes,tt0114798
77350,Unzipped,tt0114805
9560,A Walk in the Clouds,tt0114887
9804,Waterworld,tt0114898
31611,White Man's Burden,tt0114928
65796,Wild Bill,tt0114938
49805,The Browning Version,tt0109340
26258,Bushwhacked,tt0112602
50797,Burnt by the Sun,tt0111579
19155,Before the Rain,tt0110882
76,Before Sunrise,tt0112471
11017,Billy Madison,tt0112508
37141,The Babysitter,tt0112438
9382,Boys on the Side,tt0112571
6715,The Cure,tt0112757
18256,Castle Freak,tt0112643
22625,Circle of Friends,tt0112679
2292,Clerks,tt0109445
1909,Don Juan DeMarco,tt0112883
8984,Disclosure,tt0109635
61813,Dream Man,tt0112899
4954,Drop Zone,tt0109676
62488,Destiny Turns on the Radio,tt0112854
10531,Death and the Maiden,tt0109579
11929,Dolores Claiborne,tt0109642
8467,Dumb and Dumber,tt0109686
10451,Eat Drink Man Woman,tt0111797
20156,Exotica,tt0109759
18395,Exit to Eden,tt0109758
522,Ed Wood,tt0109707
397,French Kiss,tt0113117
10525,Forget Paris,tt0113097
27985,Far from Home: The Adventures of Yellow Dog,tt0113028
15789,A Goofy Movie,tt0113198
27303,Hideaway,tt0113303
21183,Fluke,tt0113089
10954,Farinelli,tt0109771
47867,Gordy,tt0113199
43475,Gumby: The Movie,tt0113234
72031,The Glass Shield,tt0109906
14275,Hoop Dreams,tt0110057
1024,Heavenly Creatures,tt0110005
17207,Houseguest,tt0110066
13701,Immortal Beloved,tt0110116
14819,Heavyweights,tt0110006
32631,The Hunted,tt0113360
11777,I.Q.,tt0110099
628,Interview with the Vampire,tt0110148
87729,Jefferson in Paris,tt0113463
18713,The Jerky Boys,tt0110189
6280,Junior,tt0110216
9061,Just Cause,tt0113501
37108,A Kid in King Arthur's Court,tt0113538
6071,Kiss of Death,tt0113552
11,Star Wars,tt0076759
9587,Little Women,tt0110367
19101,A Little Princess,tt0113670
49980,Ladybird Ladybird,tt0110296
17961,L'Enfer,tt0109731
18183,Like Water for Chocolate,tt0103994
4476,Legends of the Fall,tt0110322
11008,Major Payne,tt0110443
47504,Little Odessa,tt0110365
32325,Mi Vida Loca,tt0107566
43742,Love Affair,tt0110391
28313,Losing Isaiah,tt0113691
11318,The Madness of King George,tt0110428
3036,Mary Shelley's Frankenstein,tt0109836
40490,Man of the House,tt0113755
24070,Mixed Nuts,tt0110538
8986,Milk Money,tt0110516
10510,Miracle on 34th Street,tt0110527
17402,Miami Rhapsody,tt0113808
38722,My Family,tt0113896
8438,Murder in the First,tt0113870
11593,Nobody's Fool,tt0110684
1945,Nell,tt0110638
39310,New Jersey Drive,tt0113967
109560,New York Cop,tt0117169
56428,Beyond Bedlam,tt0106402
63105,Nemesis 2 - Nebula,tt0113948
131957,Nina Takes a Lover,tt0110671
241,Natural Born Killers,tt0110632
9058,Only You,tt0110737
527,Once Were Warriors,tt0110729
18220,Poison Ivy II: Lily,tt0114151
6950,Outbreak,tt0114069
101,Leon: The Professional,tt0110413
63020,The Perez Family,tt0114113
2307,A Pyromaniac's Love Story,tt0114210
680,Pulp Fiction,tt0110912
41478,Panther,tt0114084
25296,Pushing Hands,tt0105652
40156,Priest,tt0110889
11450,Quiz Show,tt0110932
30304,Picture Bride,tt0114129
10452,Queen Margot,tt0110963
12106,The Quick and the Dead,tt0114214
161495,Roommates,tt0114296
3586,Prêt-à-Porter,tt0110907
110,Three Colors: Red,tt0111495
108,Three Colors: Blue,tt0108394
109,Three Colors: White,tt0111507
159185,"Red Firecracker, Green Firecracker",tt0110769
36357,Rent-a-Kid,tt0114268
92769,Relative Fear,tt0110965
28033,Stuart Saves His Family,tt0114571
22586,The Swan Princess,tt0111333
14334,The Secret of Roan Inish,tt0111112
2636,The Specialist,tt0111255
2164,Stargate,tt0111282
11395,The Santa Clause,tt0111070
278,The Shawshank Redemption,tt0111161
9905,Shallow Grave,tt0111149
87078,Suture,tt0108260
12527,Strawberry and Chocolate,tt0106966
20306,Swimming with Sharks,tt0114594
36614,The Sum of Us,tt0111309
27993,Senior Trip,tt0113936
31439,To Live,tt0110081
9067,Tank Girl,tt0114614
9059,Tales from the Crypt: Demon Knight,tt0114608
193,Star Trek: Generations,tt0111280
25066,Tales from the Hood,tt0114609
46797,Tom & Viv,tt0111454
12122,Village of the Damned,tt0114852
11381,Tommy Boy,tt0114694
32636,Vanya on 42nd Street,tt0111590
36141,The Underneath,tt0114788
95963,The Walking Dead,tt0114888
1587,What's Eating Gilbert Grape,tt0108550
9271,Virtuosity,tt0114857
2064,While You Were Sleeping,tt0114924
19855,The War,tt0111667
60855,Double Happiness,tt0109655
236,Muriel's Wedding,tt0110598
48287,The Baby-Sitters Club,tt0112435
3049,Ace Ventura: Pet Detective,tt0109040
2759,"The Adventures of Priscilla, Queen of the Desert",tt0109045
12635,Backbeat,tt0106339
10497,Bitter Moon,tt0104779
11382,Bullets Over Broadway,tt0109348
9331,Clear and Present Danger,tt0109444
10731,The Client,tt0109446
10464,"Corrina, Corrina",tt0109484
34152,Crooklyn,tt0109504
9495,The Crow,tt0109506
29973,Cobb,tt0109450
888,The Flintstones,tt0109813
13,Forrest Gump,tt0109830
712,Four Weddings and a Funeral,tt0109831
16295,Higher Learning,tt0113305
48992,I Like It Like That,tt0110091
10879,I Love Trouble,tt0110093
10660,It Could Happen to You,tt0110167
10714,The Jungle Book,tt0110213
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",tt0107472
8587,The Lion King,tt0110357
1689,Little Buddha,tt0107426
11596,New Nightmare,tt0111686
854,The Mask,tt0110475
9359,Maverick,tt0110478
23333,Mrs. Parker and the Vicious Circle,tt0110588
36593,The Naked Gun 33⅓: The Final Insult,tt0110622
12280,The Paper,tt0110771
2788,Reality Bites,tt0110950
10427,Red Rock West,tt0105226
11011,Ri¢hie Ri¢h,tt0110989
49803,Safe Passage,tt0111054
8987,The River Wild,tt0110997
1637,Speed,tt0111257
15128,Speechless,tt0111256
8831,Timecop,tt0111438
36955,True Lies,tt0111503
10449,When a Man Loves a Woman,tt0111693
10395,Wolf,tt0111742
12160,Wyatt Earp,tt0111756
40480,Bad Company,tt0112443
52038,A Man of No Importance,tt0110455
29444,S.F.W.,tt0111048
26352,A Low Down Dirty Shame,tt0110399
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",tt0112570
41580,Colonel Chabert,tt0109454
315,"Faster, Pussycat! Kill! Kill!",tt0059170
22067,Jason's Lyric,tt0110186
18242,The Secret Adventures of Tom Thumb,tt0108069
11667,Street Fighter,tt0111301
32502,Coldblooded,tt0112702
267188,Desert Winds,tt0112849
28732,Fall Time,tt0113014
75555,The Fear,tt0113043
42981,Frank and Ollie,tt0113104
278939,Girl in the Cadillac,tt0113173
291731,Homage,tt0113319
226229,Mirage,tt0113827
203119,Open Season,tt0114047
172923,Dos Crímenes,tt0112889
316098,Brother Minister: The Assassination of Malcolm X,tt0109339
8011,Highlander: The Final Dimension,tt0110027
171857,Federal Hill,tt0109785
2654,In the Mouth of Madness,tt0113409
18069,8 Seconds,tt0109021
19092,Above the Rim,tt0109035
2758,Addams Family Values,tt0106220
38129,Martin Lawrence: You So Crazy,tt0111804
10436,The Age of Innocence,tt0106226
13595,Airheads,tt0109068
46094,The Air Up There,tt0109067
9409,Another Stakeout,tt0106292
11853,Bad Girls,tt0109198
16771,Barcelona,tt0109219
46924,Being Human,tt0106379
11041,The Beverly Hillbillies,tt0106400
306,Beverly Hills Cop III,tt0109254
14522,Black Beauty,tt0109279
26203,Blink,tt0109297
178,Blown Away,tt0109303
19819,Blue Chips,tt0109305
57834,Blue Sky,tt0109306
4722,Body Snatchers,tt0106452
18215,Boxing Helena,tt0106471
1607,A Bronx Tale,tt0106489
26391,Cabin Boy,tt0109361
117553,Calendar Girl,tt0106505
6075,Carlito's Way,tt0106519
11310,City Slickers II: The Legend of Curly's Gold,tt0109439
18658,Clean Slate,tt0109443
9350,Cliffhanger,tt0106582
9612,Coneheads,tt0106598
2124,Color of Night,tt0109456
26261,Cops & Robbersons,tt0109480
19176,The Cowboy Way,tt0109493
49299,Dangerous Game,tt0106660
11566,Dave,tt0106673
9571,Dazed and Confused,tt0106677
9739,Demolition Man,tt0106697
24257,The Endless Summer 2,tt0109729
34444,Even Cowgirls Get the Blues,tt0106834
26141,Fatal Instinct,tt0106873
10997,Farewell My Concubine,tt0106332
50463,The Favor,tt0109783
10443,Fearless,tt0106881
20239,Fear of a Black Hat,tt0106880
16297,With Honors,tt0111732
18551,Flesh and Bone,tt0106926
25440,Widows' Peak,tt0111712
9024,For Love or Money,tt0106941
37233,The Firm,tt0106918
1634,Free Willy,tt0106965
13815,Fresh,tt0109842
5503,The Fugitive,tt0106977
35588,Geronimo: An American Legend,tt0107004
2087,The Getaway,tt0109890
41579,Getting Even with Dad,tt0109891
